VRLOG
Date	Time	U panels	U acku	I out	I in	P out	P in
2014-7-21	14:23:11	32.488945	12.409983	2.924000	3.923340	36.286785	127.465172

2014-7-21	14:23:41	32.487103	12.409983	3.081002	3.935547	38.235176	127.854515

2014-7-21	14:24:11	32.496346	12.408013	3.173076	3.806152	39.371574	123.686043

2014-7-21	14:24:41	32.505581	12.408013	3.011354	3.742676	37.364922	121.657852

2014-7-21	14:25:11	32.498188	12.408013	3.020797	3.728027	37.482094	121.154137

2014-7-21	14:25:41	32.500046	12.409985	3.129400	3.725586	38.835800	121.081711

2014-7-21	14:26:11	32.512981	12.408013	3.204949	3.842773	39.767052	124.940018

2014-7-21	14:26:41	32.514828	12.408013	3.153009	3.845215	39.122581	125.026497

2014-7-21	14:27:11	32.518520	12.406042	3.066835	3.732910	38.047287	121.388718

2014-7-21	14:27:41	32.514824	12.408013	3.066836	3.784180	38.053341	123.041939

2014-7-21	14:28:12	32.525917	12.409983	3.038504	3.823242	37.707779	124.354462

2014-7-21	14:28:42	32.516674	12.406043	3.081001	3.654785	38.223030	118.841461

2014-7-21	14:29:12	32.514824	12.409986	3.023159	3.823242	37.517357	124.312050

2014-7-21	14:29:42	32.522224	12.409983	2.974759	3.867188	36.916706	125.769539

2014-7-21	14:30:12	32.518528	12.408013	2.987744	3.820801	37.071972	124.246819

2014-7-21	14:30:42	32.509281	12.406046	3.202588	3.723145	39.731453	121.036751

2014-7-21	14:31:12	32.518520	12.408015	3.214393	3.640137	39.884239	118.371857

2014-7-21	14:31:42	32.507435	12.408013	3.201408	3.657227	39.723114	118.887054

2014-7-21	14:32:12	32.516670	12.409984	3.149467	3.955078	39.084839	128.605972

2014-7-21	14:32:42	32.500031	12.425742	3.075099	3.974609	38.210381	129.174927

2014-7-21	14:33:12	32.503735	12.413923	3.070377	3.947754	38.115421	128.316742

2014-7-21	14:33:42	32.509281	12.411953	3.027880	3.928223	37.581909	127.703697

2014-7-21	14:34:12	32.505589	12.425741	2.975940	4.042969	36.978260	131.419083

2014-7-21	14:34:42	32.496342	12.429683	3.153009	4.077148	39.190899	132.492416

2014-7-21	14:35:12	32.494492	12.423771	2.961775	3.894043	36.796410	126.534950

2014-7-21	14:35:42	32.490791	12.408013	3.150648	3.530273	39.093281	114.701378

2014-7-21	14:36:12	32.492641	12.408013	3.178979	3.586426	39.444813	116.532448

2014-7-21	14:36:42	32.492638	12.408013	3.055030	3.618164	37.906857	117.563690

2014-7-21	14:37:12	32.494492	12.408013	3.096347	3.591309	38.419514	116.697746

2014-7-21	14:37:42	32.488941	12.408013	3.064475	3.596191	38.024044	116.836449

2014-7-21	14:38:12	32.488945	12.409983	2.984203	3.708496	37.033913	120.485123

2014-7-21	14:38:43	32.488941	12.409983	3.006632	3.732910	37.312244	121.278297

